datum,mean_delta_norm,mean_resonance_change,operator_rate
2023-12-11,1.210923372671652,0.10080452286999009,0.0
2023-12-18,2.6509227915323703,0.11508695150983439,1.0
2024-01-15,2.3780930382937195,0.22476855388794748,0.0
2024-02-05,2.872028588907736,0.17936098283023344,0.5
2024-02-12,0.6899594190965147,0.1016559648672618,0.0
2024-02-26,2.499064201552209,1.249364868099763,0.3333333333333333
2024-03-04,3.700258152995718,0.17685924955885224,0.0
2024-03-11,1.9449686006010727,0.12718010106005329,0.0
2024-03-25,2.3655085175220427,0.15733056914136745,0.3333333333333333
2024-03-27,7.744039293602488,1.9343589161423203,1.0
2024-04-08,3.346871284081345,1.215172729858616,0.0
2024-04-22,3.7754969760043853,0.38395600969256094,0.0
2024-04-24,4.973060145271317,0.6746340693896085,0.0
2024-04-29,0.0,-2.220446049250313e-16,0.0
2024-05-15,3.354162757394736,1.2782107221207484,1.0
2024-06-03,2.8406543617061675,0.4676341474522826,0.0
2024-06-17,3.999229350986683,0.5454131546715152,1.0
2024-08-14,2.8617297138997584,0.03914424403359851,0.0
2024-08-28,0.0,0.0,0.0
2024-09-11,1.23903018902202,0.011243517499504807,0.0
2024-09-18,0.8893201524736024,0.018727370193036053,0.0
2024-10-02,1.9836889067195937,0.07487893293665915,0.0
2024-10-23,2.3838828702043595,0.07548248464629925,0.0
2024-10-30,3.960386035065206,0.3415371165442531,0.0
2024-11-11,1.4029114501637037,0.035406730106659845,0.0
2024-11-13,2.2369790520235466,0.8262537380847876,0.0
2024-11-25,1.8384231748476592,0.3469981293490836,1.0
2024-12-04,1.9775739236364107,0.18407760529409634,0.0
2025-01-10,2.872002580213369,0.47373564022998005,1.0
2025-01-15,2.0523245760936186,0.04993037998256883,0.5
2025-01-22,2.803319796394295,0.02376658668305226,1.0
2025-02-03,1.4249713518388567,1.3912882739869077,1.0
2025-02-06,3.191802045874477,0.12487456014338838,0.0
2025-02-13,0.0,0.0,0.0
2025-02-20,3.5946666425005276,0.2317079786969375,0.5
2025-02-21,1.5237126796449272,0.7525637169431212,0.0
2025-02-28,0.0,-2.220446049250313e-16,0.0
2025-03-04,1.6917613179944522,0.038690669600376926,0.0
2025-03-13,2.052086330798615,0.07039538811938939,0.0
2025-03-21,1.0439361257595652,0.0792462259338425,0.0
2025-03-24,1.7358984618709092,0.04087841021876959,0.0
2025-03-25,2.862502174565493,,0.0
2025-03-27,1.3189980925294045,0.01843377326425566,0.0
2025-04-01,1.221407554240097,0.11017909444602314,0.0
2025-04-03,2.9933834557235506,0.45781134774634524,0.0
2025-04-28,1.3815995156059422,0.13767404110839598,0.0
2025-04-29,1.7726867202881234,,0.0
2025-04-30,2.5244467655259197,0.15939748523540542,0.0
2025-05-06,2.9804439385841324,,1.0
2025-05-12,1.0996857455567677,0.03967628668864509,0.0
2025-05-19,1.6398201400013865,0.09268546006701406,0.0
2025-05-26,0.9526730628431174,0.03427414678701257,0.0
2025-08-18,1.786356024332916,0.03879421917972847,1.0
2025-08-22,1.2411263144374356,0.04242895706766989,0.5
2025-08-25,1.6042848370209997,0.09058597646872157,0.3103448275862069
2025-08-26,1.4692721970264861,0.05322385761065299,0.3333333333333333
2025-08-27,1.6666599813065524,0.16224937233508194,0.41935483870967744
2025-08-28,1.8136362383473332,0.17469675130284948,0.45161290322580644
2025-08-29,1.6766323450282439,0.24628982151264633,0.2
2025-09-01,1.5654259895333489,0.12890376321988187,0.3783783783783784
2025-09-02,1.5708331914122673,0.09466768514564092,0.3235294117647059
2025-09-03,1.8281078301976068,0.16575486518377608,0.5
2025-09-04,1.9757948721629457,0.19248097936055444,0.375
2025-09-05,2.022227116282851,0.22124262835341685,0.35714285714285715
2025-09-08,1.5720641670151887,0.07397233044897422,0.10526315789473684
2025-09-09,1.9770583384260103,0.31997808455147936,0.4482758620689655
2025-09-10,1.6964333057279946,0.14917592482284883,0.46153846153846156
2025-09-11,2.0987336218927353,0.3350576033202987,0.4090909090909091
2025-09-12,2.5337623890166308,0.38438371267832133,0.6153846153846154
2025-09-15,2.1969455677297223,0.23329679636813971,0.4722222222222222
2025-09-16,1.6576646682338267,0.06207178102008896,0.26666666666666666
2025-09-17,2.0289170086376225,0.26545770832625143,0.23809523809523808
2025-09-18,1.869246855742845,0.22399464771662567,0.4117647058823529
2025-09-19,2.16653830843438,0.3636022880503048,0.4782608695652174
2025-09-22,2.082578122700015,0.2132380696690719,0.34285714285714286
2025-09-23,1.727258092389817,0.2048928557726156,0.2631578947368421
2025-09-24,1.470217184775305,0.07937131670214957,0.525
2025-09-25,1.9501092923149994,0.16315889829534175,0.47619047619047616
2025-09-26,1.710881674150773,0.1505194976462431,0.4
2025-09-29,2.2164713808546677,0.24173212713917794,0.2702702702702703
2025-09-30,1.8135881597941197,0.22442449689491997,0.5161290322580645
2025-10-01,1.6746196064764718,0.08419515035445348,0.39473684210526316
2025-10-02,1.58841918252799,0.08029184948416385,0.4166666666666667
2025-10-07,1.999365522824887,0.2235940159512952,0.2
2025-10-09,1.3881163061452935,0.05975132313737822,0.2777777777777778
2025-10-13,1.0960437727150816,0.05056654513100959,0.0
2025-10-15,2.5609484365774082,0.29769312403194154,0.5
2025-10-16,2.7967968034230597,0.7147364896264219,0.2727272727272727
2025-10-20,1.4737635652082746,0.06048454991783638,0.21428571428571427
2025-10-21,1.6076504229744426,0.07106482627248824,0.5172413793103449
2025-10-22,1.9442054491666858,0.20972690028482574,0.39473684210526316
2025-10-23,1.6283282277430928,0.07677899049769263,0.3829787234042553
2025-10-24,2.088033020438375,0.2097188729027849,0.38461538461538464
2025-10-27,2.042580506016878,0.3663658656675667,0.4358974358974359
2025-10-28,1.8669109290816295,0.24897221020137084,0.25925925925925924
2025-10-29,1.7793253550996013,0.14021536933732742,0.5277777777777778
2025-10-30,2.092518340271207,0.25286632082660937,0.4411764705882353
2025-11-03,1.9354003578554297,0.23538547237391244,0.5348837209302325
2025-11-04,1.8437975774449002,0.1724443304722251,0.35135135135135137
2025-11-05,1.8341467580905575,0.1843112583050712,0.5
2025-11-06,2.0795208377310215,0.281116783606976,0.37777777777777777
