operator,kognition,sozial,affektiv,motivation,methodik,performanz,regulation
fast,-1.7281874943620914,0.16227893246958955,-0.47613399560726144,-0.15420490705871867,-1.5285414996040916,-1.0401748166168028,-0.5323145586200472
ziemlich,0.555557997031175,0.44160980385583704,0.7076816626937036,0.9550109032606965,0.6388312008802008,1.0048113874217692,0.7639726361063978
sofort,-1.2579191598593533,0.5754303911720385,0.1987462070841878,0.41247396321847435,-1.0787731047961144,-0.5876103538668578,-0.14775485268913668
nicht,-0.9672890776122219,0.22913047081054494,-0.4290220213980951,-0.29139324167925595,-0.725315323970204,-0.8013143812950219,-0.518864887726682
hoechst,-0.7456741461791633,0.5671569617888453,0.3913772976244467,0.07645511947913997,-0.7792832550989868,-0.3311344657506999,-0.8077777812240033
kaum,-0.5512973418463,0.557291401305254,-0.32402848921538996,0.48044492522929505,-0.35418070239925004,-0.2708648595516,0.3535617477303001
bedingt,-0.38851163298548785,-0.27104014837031876,-0.3179849460700098,-0.5231714243055229,-0.4627197558528653,-0.4710555281024935,-0.4552293961601188
stark,-0.46463321261198737,0.27056910564297365,-0.010662040417096584,-0.3378633879330785,-0.5056153367504942,-0.5667883333199646,-0.5764719932442257
ausnahmslos,-0.3440578925571667,0.5759402045835,0.3055849025303067,0.46344716478473336,-0.46075675679600003,-0.2504886582990667,-0.2673857186508
manchmal,-0.353373228369245,0.5379590100908646,-0.456734204302812,0.16487998884826408,-0.051382690103879976,-0.21459093921227954,0.10942229540601088
sporadisch,0.07915471403751438,0.015355443863469534,-0.18558212628359066,0.45035288948940355,0.23206989661413638,0.22648550981393573,0.5812040951407321
selten,-0.27801326861428977,-0.1979013896407711,-0.24956318688316317,-0.26604288926410374,-0.17936941605074005,-0.30515964251920435,-0.24455175412106148
