allgemeine Bewertung

0.64 0.12 0.08 0.42 0.58 0.52 0.63
0.72 0.18 0.12 0.62 0.68 0.67 0.72
0.52 0.25 0.35 0.62 0.48 0.52 0.57
0.18 0.08 -0.08 0.12 0.18 0.22 0.28
-0.35 -0.45 -0.75 -0.55 -0.25 -0.45 -0.65
0.58 0.12 0.12 0.52 0.52 0.58 0.58
0.28 0.08 -0.08 0.22 0.28 0.32 0.22
0.78 0.25 0.25 0.62 0.68 0.72 0.68
0.82 0.12 0.12 0.72 0.78 0.82 0.78
0.58 0.12 0.08 0.42 0.48 0.52 0.42
0.52 0.08 -0.25 0.32 0.38 0.42 0.32
0.42 0.08 0.02 0.48 0.52 0.48 0.52
0.58 0.12 0.18 0.52 0.52 0.58 0.58
0.62 0.18 0.28 0.68 0.58 0.62 0.62
0.72 0.12 0.12 0.78 0.82 0.78 0.82
0.78 0.12 0.18 0.72 0.78 0.78 0.78
0.52 0.18 0.22 0.58 0.52 0.58 0.58
0.58 0.12 0.18 0.52 0.52 0.58 0.58
0.62 0.12 0.22 0.58 0.58 0.62 0.62
0.28 0.08 -0.08 0.22 0.32 0.32 0.28
0.58 0.22 0.32 0.62 0.52 0.58 0.58
0.62 0.22 0.28 0.68 0.62 0.62 0.68
0.72 0.12 0.12 0.62 0.62 0.68 0.68
0.68 0.12 0.12 0.62 0.58 0.62 0.62
0.58 0.12 0.02 0.52 0.52 0.58 0.58
-0.25 -0.35 -0.55 -0.45 -0.25 -0.35 -0.45
0.62 0.12 0.18 0.58 0.62 0.62 0.68
0.72 0.12 0.12 0.62 0.68 0.68 0.68
0.78 0.12 0.12 0.72 0.72 0.78 0.72
0.72 0.12 0.12 0.68 0.68 0.72 0.68
0.68 0.12 0.18 0.72 0.68 0.68 0.72
0.72 0.12 0.12 0.78 0.72 0.72 0.78
0.78 0.12 0.22 0.78 0.72 0.78 0.78
0.72 0.12 0.18 0.68 0.68 0.72 0.72
0.78 0.18 0.18 0.72 0.72 0.78 0.78

handele als pädagoge und bewerte alle sätze neu

0.68 0.15 0.10 0.45 0.60 0.55 0.65
0.75 0.20 0.15 0.65 0.70 0.70 0.75
0.55 0.25 0.35 0.65 0.50 0.55 0.60
0.25 0.10 -0.05 0.15 0.20 0.25 0.30
-0.30 -0.40 -0.80 -0.60 -0.20 -0.45 -0.70
0.60 0.15 0.15 0.55 0.55 0.60 0.60
